date,INF204K01HY3,ICICI Prudential Large & Mid Cap Growth Direct Plan,Tata Small Cap Growth Direct Plan,Edelweiss Aggressive Hybrid Growth Direct Plan,HDFC Short Term Debt Growth Direct Plan,UTI Short Duration Growth Direct Plan,DSP Aggressive Hybrid Growth Direct Plan,Parag Parikh Flexi Cap Growth Direct Plan,Nippon India Vision Large & Mid Cap Growth Direct Plan,Bandhan Large & Mid Cap Growth Direct Plan,SBI Midcap Growth Direct Plan,Nippon India Equity Hybrid Growth Direct Plan,Aditya Birla Sun Life Corporate Bond Growth Direct Plan,Franklin India Flexi Cap Growth Direct Plan,Mirae Asset Short Duration Growth Direct Plan,HDFC Large Cap Growth Direct Plan,SBI Large & Midcap Growth Direct Plan,Motilal Oswal Nifty Midcap 150 Index Growth Direct Plan,INF761K01DP9,Franklin India Large Cap Growth Direct Plan,JM Flexicap Growth Direct Plan,ICICI Prudential Nifty Next 50 Index Growth Direct Plan,UTI Large & Mid Cap Growth Direct Plan,Nippon India Corporate Bond Growth Direct Plan,Aditya Birla Sun Life Regular Saving Growth Direct Plan,INF179KA1RZ8,Nippon India Index Nifty 50 Growth Direct Plan,HDFC ELSS Tax Saver Growth Direct Plan,Kotak Midcap Growth Direct Plan,Axis Short Duration Growth Direct Plan,Franklin India Aggressive Hybrid Growth Direct Plan,HDFC Mid Cap Growth Direct Plan,Canara Robeco Large Cap Growth Direct Plan,ICICI Prudential Large Cap Growth Direct Plan,Bandhan Large Cap Growth Direct Plan,PGIM India Corporate Bond Growth Direct Plan,Motilal Oswal Midcap Growth Direct Plan,ICICI Prudential Equity & Debt Growth Direct Plan,Edelweiss Small Cap Growth Direct Plan,HDFC Large & Mid Cap Growth Direct Plan,Edelweiss Mid Cap Growth Direct Plan,Bandhan ELSS Tax Saver Growth Direct Plan,Kotak Aggressive Hybrid Growth Direct Plan,HDFC Corporate Bond Growth Direct Plan,Kotak Corporate Bond Growth Direct Plan,HDFC Flexicap Growth Direct Plan,ICICI Prudential Short Term Growth Direct Plan,Motilal Oswal Flexi Cap Growth Direct Plan,Aditya Birla Sun Life Large Cap Growth Direct Plan,DSP ELSS Tax Saver Growth Direct Plan,Bandhan Focused Growth Direct Plan,Franklin India Small Cap Growth Direct Plan,Invesco India Midcap Growth Direct Plan
2024-01-01,139.1762,845.09,35.3157,57.39,29.0809,29.7635,322.544,70.4621,1210.3542,116.194,216.0378,97.0573,100.9659,1458.7883,14.6656,1050.311,536.7436,30.8345,31.11,923.9278,87.317,49.261,146.1887,55.1299,63.7421,115.94,39.0343,1166.086,114.351,29.5902,253.0989,161.96,58.15,96.72,70.619,42.3101,80.5585,340.23,39.102,287.22,83.126,147.071,57.82,29.2224,3459.8029,1630.733,57.725,47.859,473.92,119.822,79.244,163.5122,141.92
2024-01-02,138.8607,845.63,35.4238,57.26,29.0829,29.7628,321.657,70.3278,1207.5401,116.128,215.7227,96.8087,100.9593,1454.5902,14.6647,1047.897,536.7523,30.788,31.06,919.8119,86.843,49.1388,145.8592,55.1344,63.6352,115.291,38.8976,1161.881,113.922,29.591,252.3692,161.173,57.94,96.32,70.308,42.3098,80.4266,339.75,38.906,286.593,82.456,146.958,57.615,29.225,3459.987,1625.154,57.7297,47.8937,472.0,119.405,78.792,163.395,141.63
2024-01-03,138.8839,844.03,35.3892,57.25,29.0862,29.7755,319.654,70.2262,1201.8663,116.163,215.7412,96.5999,100.9599,1450.7544,14.6661,1045.198,533.8477,30.8633,31.13,915.4435,86.6495,49.5092,145.7826,55.1318,63.5949,115.717,38.631,1164.032,113.987,29.5937,251.6947,161.705,57.79,95.87,70.238,42.3143,80.365,339.28,38.99,286.727,82.72,146.197,57.492,29.2253,3460.108,1626.456,57.7366,47.9458,470.87,119.002,78.69,163.4951,142.37
2024-01-04,139.9626,851.32,35.7218,57.65,29.0864,29.7808,322.248,70.4573,1215.6565,117.638,218.2006,97.2434,100.9604,1466.0844,14.6666,1055.712,538.5164,31.3188,31.4,921.8952,87.5119,50.1355,147.0022,55.1337,63.72,116.496,38.8842,1173.289,114.698,29.596,253.6947,163.202,58.28,96.45,70.905,42.3109,81.7243,341.72,39.344,289.995,83.863,147.562,57.731,29.2228,3460.1726,1639.856,57.7407,48.4602,475.57,120.038,79.505,165.1388,144.36
2024-01-05,140.4394,853.13,35.7167,57.73,29.083,29.7862,322.903,70.4903,1219.4907,118.057,219.5911,97.5104,100.9437,1468.8185,14.6663,1056.924,539.6564,31.4189,31.54,926.2065,87.8547,50.0755,147.7838,55.1365,63.7591,117.363,38.9777,1176.846,115.169,29.5955,254.1049,163.504,58.36,96.74,71.08,42.3113,82.5324,342.12,39.684,290.37,84.321,147.842,57.867,29.2234,3460.1052,1645.4,57.7447,48.8881,476.44,120.325,79.471,166.3186,144.49
2024-01-08,139.326,847.45,35.5688,57.51,29.1156,29.8191,321.713,70.3416,1208.9964,117.226,217.7072,97.0502,101.0849,1457.9671,14.6821,1047.648,535.1291,31.1509,31.39,917.6036,87.1235,49.5521,146.0463,55.1908,63.6622,116.627,38.6222,1168.727,114.225,29.6252,252.5421,161.787,57.86,96.18,70.601,42.3571,82.0618,341.15,39.422,287.751,83.64,146.599,57.517,29.2483,3464.8807,1633.261,57.8006,48.5559,472.33,119.301,79.228,165.4316,143.47
2024-01-09,139.6289,849.6,35.6129,57.64,29.1249,29.8198,320.889,70.5527,1212.7976,117.466,218.2154,97.361,101.1246,1460.9031,14.6867,1049.55,537.0151,31.2072,31.44,919.2265,87.7151,49.7651,146.5197,55.2031,63.6637,116.866,38.6791,1173.729,114.504,29.637,253.0105,162.476,58.07,96.6,70.841,42.3662,82.4485,342.44,39.494,288.427,84.075,147.161,57.684,29.256,3465.5772,1639.421,57.8229,48.7614,473.91,119.511,79.478,165.8678,144.25
2024-01-10,139.9727,849.77,35.571,57.69,29.1369,29.8333,321.054,70.7891,1215.5448,117.599,218.6138,97.5944,101.1656,1463.2822,14.6933,1051.516,538.7531,31.2849,31.42,923.7499,87.8849,49.8725,146.5637,55.2251,63.6931,116.861,38.8114,1177.113,114.767,29.649,253.518,162.685,58.24,96.82,71.031,42.3759,82.9273,342.85,39.47,288.886,84.152,147.837,57.771,29.2634,3467.2749,1645.82,57.8414,49.1232,475.07,119.495,79.593,165.973,144.56
2024-01-11,140.7611,853.23,36.0817,57.82,29.1451,29.8372,320.791,71.0366,1222.2576,118.717,219.8136,97.6554,101.1847,1468.0285,14.6957,1053.553,541.3183,31.4196,31.57,926.4949,88.3324,50.3489,147.1234,55.2286,63.6861,117.617,38.8622,1177.049,115.859,29.6552,253.9947,163.882,58.32,97.12,71.421,42.3767,83.8976,343.65,39.666,290.999,84.907,148.417,57.948,29.2586,3467.2764,1645.656,57.8521,49.6637,475.94,119.841,79.595,167.2011,145.44
2024-01-12,141.1337,858.07,36.1628,58.17,29.153,29.8466,321.479,71.2789,1228.6867,119.455,220.3863,98.2783,101.2143,1482.2113,14.699,1064.742,544.3088,31.5332,31.76,935.1637,89.1233,50.4838,148.0697,55.2565,63.8298,118.448,39.3054,1186.332,116.154,29.6603,255.8941,164.916,58.88,98.01,72.138,42.3869,84.6173,346.12,39.774,292.898,85.363,149.602,58.244,29.2738,3468.0535,1656.416,57.855,50.2069,480.05,120.756,80.115,167.8064,145.93
